date,sales
2022-04-09,165116.0
2022-04-10,164705.0
2022-04-11,162384.0
2022-04-12,206402.0
2022-04-13,223714.0
2022-04-14,211680.0
2022-04-15,201035.0
2022-04-16,229554.0
2022-04-17,215205.0
2022-04-18,237731.0
2022-04-19,240518.0
2022-04-20,236020.0
2022-04-21,227726.0
2022-04-22,214384.0
2022-04-23,231081.0
2022-04-24,231603.0
2022-04-25,225539.0
2022-04-26,209740.0
2022-04-27,0.0
2022-04-28,181666.0
2022-04-29,177823.0
2022-04-30,187577.0
2022-05-01,185544.0
2022-05-02,154457.0
2022-05-03,165707.0
2022-05-04,145639.0
2022-05-05,193005.0
2022-05-06,200361.0
2022-05-07,174011.0
2022-05-08,219689.0
2022-05-09,187973.0
2022-05-10,198998.0
2022-05-11,210634.0
2022-05-12,204697.0
2022-05-13,201090.0
2022-05-14,197778.0
2022-05-15,204781.0
2022-05-16,214318.0
2022-05-17,206294.0
2022-05-18,0.0
2022-05-19,210614.0
2022-05-20,184179.0
2022-05-21,215724.0
2022-05-22,212315.0
2022-05-23,195845.0
2022-05-24,212924.0
2022-05-25,178497.0
2022-05-26,164616.0
2022-05-27,180214.0
2022-05-28,182377.0
2022-05-29,200514.0
2022-05-30,196810.0
2022-05-31,199061.0
2022-06-01,228274.0
2022-06-02,199637.0
2022-06-03,182778.0
2022-06-04,206090.0
2022-06-05,217280.0
2022-06-06,234626.0
2022-06-07,182923.0
2022-06-08,173513.0
2022-06-09,210665.0
2022-06-10,215706.0
2022-06-11,227497.0
2022-06-12,-235586.0
2022-06-13,223068.0
2022-06-14,229058.0
2022-06-15,246173.0
2022-06-16,236431.0
2022-06-17,241744.0
2022-06-18,204177.0
2022-06-19,231347.0
2022-06-20,0.0
2022-06-21,213470.0
2022-06-22,229956.0
2022-06-23,205054.0
2022-06-24,188410.0
2022-06-25,178626.0
2022-06-26,167335.0
2022-06-27,185529.0
2022-06-28,178783.0
2022-06-29,185011.0
2022-06-30,157707.0
2022-07-01,168466.0
2022-07-02,133963.0
2022-07-03,149054.0
2022-07-04,7111468.0
2022-07-05,145050.0
2022-07-06,-139992.0
2022-07-07,155122.0
2022-07-08,172545.0
2022-07-09,178347.0
2022-07-10,194501.0
2022-07-11,183743.0
2022-07-12,177828.0
2022-07-13,206196.0
2022-07-14,170634.0
2022-07-15,180186.0
2022-07-16,167077.0
2022-07-17,182743.0
2022-07-18,197118.0
2022-07-19,196466.0
2022-07-20,205915.0
2022-07-21,193284.0
2022-07-22,168284.0
2022-07-23,184129.0
2022-07-24,162191.0
2022-07-25,123194.0
2022-07-26,139720.0
2022-07-27,133670.0
2022-07-28,
2022-07-29,150802.0
2022-07-30,154499.0
2022-07-31,161436.0
2022-08-01,166347.0
2022-08-02,171687.0
2022-08-03,156020.0
2022-08-04,181198.0
2022-08-05,202367.0
2022-08-06,170381.0
2022-08-07,158462.0
2022-08-08,167326.0
2022-08-09,194808.0
2022-08-10,182124.0
2022-08-11,199588.0
2022-08-12,183473.0
2022-08-13,202355.0
2022-08-14,191826.0
2022-08-15,153299.0
2022-08-16,183168.0
2022-08-17,191665.0
2022-08-18,198941.0
2022-08-19,184513.0
2022-08-20,204996.0
2022-08-21,193904.0
2022-08-22,186902.0
2022-08-23,217619.0
2022-08-24,205727.0
2022-08-25,195862.0
2022-08-26,192500.0
2022-08-27,167602.0
2022-08-28,183652.0
2022-08-29,170868.0
2022-08-30,157177.0
2022-08-31,136863.0
2022-09-01,121848.0
2022-09-02,110450.0
2022-09-03,136744.0
2022-09-04,0.0
2022-09-05,127490.0
2022-09-06,155949.0
2022-09-07,139045.0
2022-09-08,144745.0
2022-09-09,143034.0
2022-09-10,154548.0
2022-09-11,122923.0
2022-09-12,104943.0
2022-09-13,130288.0
2022-09-14,128878.0
2022-09-15,121239.0
2022-09-16,138768.0
2022-09-17,129807.0
2022-09-18,128237.0
2022-09-19,104454.0
2022-09-20,99406.0
2022-09-21,103701.0
2022-09-22,0.0
2022-09-23,93619.0
2022-09-24,155168.0
2022-09-25,140751.0
2022-09-26,145655.0
2022-09-27,151557.0
2022-09-28,197527.0
2022-09-29,167561.0
2022-09-30,200564.0
2022-10-01,194974.0
2022-10-02,191841.0
2022-10-03,177151.0
2022-10-04,178265.0
2022-10-05,-178116.0
2022-10-06,179292.0
2022-10-07,167988.0
2022-10-08,120808.0
2022-10-09,128062.0
2022-10-10,166119.0
2022-10-11,142253.0
2022-10-12,
2022-10-13,133252.0
2022-10-14,164819.0
2022-10-15,158974.0
2022-10-16,152544.0
2022-10-17,155430.0
2022-10-18,166831.0
2022-10-19,
2022-10-20,163752.0
2022-10-21,172498.0
2022-10-22,171253.0
2022-10-23,154060.0
2022-10-24,134705.0
2022-10-25,156887.0
2022-10-26,141792.0
2022-10-27,175299.0
2022-10-28,152385.0
2022-10-29,138951.0
2022-10-30,165310.0
2022-10-31,147791.0
2022-11-01,150057.0
2022-11-02,-178768.0
2022-11-03,204525.0
2022-11-04,199952.0
2022-11-05,212359.0
2022-11-06,195197.0
2022-11-07,195495.0
2022-11-08,176774.0
2022-11-09,182187.0
2022-11-10,172271.0
2022-11-11,174794.0
2022-11-12,157288.0
2022-11-13,176748.0
2022-11-14,155428.0
2022-11-15,149450.0
2022-11-16,171942.0
2022-11-17,165134.0
2022-11-18,150097.0
2022-11-19,104993.0
2022-11-20,135400.0
2022-11-21,124927.0
2022-11-22,143785.0
2022-11-23,150043.0
2022-11-24,140540.0
2022-11-25,156221.0
2022-11-26,167369.0
2022-11-27,162096.0
2022-11-28,153417.0
2022-11-29,174026.0
2022-11-30,117760.0
2022-12-01,141987.0
2022-12-02,138514.0
2022-12-03,130607.0
2022-12-04,143129.0
2022-12-05,167193.0
2022-12-06,189489.0
2022-12-07,190372.0
2022-12-08,176521.0
2022-12-09,181166.0
2022-12-10,186619.0
2022-12-11,168270.0
2022-12-12,168242.0
2022-12-13,187546.0
2022-12-14,0.0
2022-12-15,185723.0
2022-12-16,164857.0
2022-12-17,160620.0
2022-12-18,195820.0
2022-12-19,175455.0
2022-12-20,178733.0
2022-12-21,195247.0
2022-12-22,0.0
2022-12-23,196847.0
2022-12-24,210452.0
2022-12-25,188037.0
2022-12-26,207693.0
2022-12-27,189649.0
2022-12-28,228529.0
2022-12-29,163598.0
2022-12-30,189715.0
2022-12-31,173375.0
